,Fold selected features,Fold nb of features
Fold 64,"['ACE2', 'ACP5', 'ADCYAP1R1', 'ADGRG1', 'ALPP', 'AMIGO2', 'AMY2A', 'AMY2B', 'AOC1', 'APOM', 'BAIAP2', 'CA6', 'CASC4', 'CCL15', 'CCL20', 'CD276', 'CDHR1', 'CES2', 'CHI3L1', 'CLUL1', 'COL4A1', 'CPA2', 'CRTAC1', 'CTRB1', 'CTSF', 'CTSV', 'CXCL8', 'DKK1', 'DKKL1', 'DSG2', 'ENPP7', 'ERBB4', 'FBP1', 'FCN2', 'FCRL1', 'FCRL5', 'FCRLB', 'FGF21', 'GFRA2', 'GGT5', 'GH2', 'GPC5', 'HDGF', 'IGF2R', 'IGFBPL1', 'IGSF3', 'IL17C', 'IL5RA', 'IL6', 'IL6R', 'ING1', 'ISM1', 'KIR2DL3', 'KLB', 'KLK1', 'KLK10', 'KLRB1', 'LAMA4', 'LGALS1', 'LHB', 'LY9', 'LY96', 'LYPD3', 'MARCO', 'MASP1', 'MDGA1', 'MET', 'MILR1', 'MMP13', 'MUC13', 'MZB1', 'NCLN', 'NINJ1', 'NOMO1', 'NTRK3', 'PCOLCE', 'PLAU', 'PLAUR', 'PM20D1', 'PNLIPRP2', 'PRSS8', 'PSIP1', 'RANGAP1', 'S100A16', 'SCP2', 'SELPLG', 'SIGLEC7', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINK6', 'SPINT1', 'SRP14', 'TDGF1', 'TFPI2', 'THBS2', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TNFSF12', 'TP53', 'ULBP2', 'VEGFA', 'VWA1', 'XPNPEP2', 'XRCC4']",109
Fold 65,"['ADAM15', 'ADAMTS13', 'ADAMTS15', 'ANGPTL2', 'ANGPTL3', 'ANXA3', 'B4GAT1', 'BST1', 'CAPG', 'CASP1', 'CCL15', 'CCL17', 'CCL20', 'CCL23', 'CD177', 'CEACAM5', 'CLEC10A', 'CNTN1', 'CPA2', 'CRTAC1', 'CTSF', 'CTSH', 'CXCL13', 'DKKL1', 'DLL1', 'FBP1', 'FCGR2B', 'FGF21', 'FOSB', 'FUCA1', 'GFRA2', 'GGT1', 'GH2', 'GPC5', 'GZMA', 'HCLS1', 'HLA-DRA', 'HPGDS', 'ICAM1', 'IGF2R', 'IL13', 'IL16', 'IL18RAP', 'IL22RA1', 'IL33', 'ISM1', 'ITGB6', 'KIR2DL3', 'KLK1', 'KLK14', 'LAMP3', 'LGALS3', 'LTA', 'LYN', 'LYPD8', 'MDGA1', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'NPY', 'PCSK9', 'PIGR', 'PLAUR', 'PM20D1', 'PPY', 'PRL', 'PTPRM', 'RANGAP1', 'RBP2', 'S100A11', 'SCARB1', 'SCP2', 'SEZ6L2', 'SFTPA2', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINK6', 'SRP14', 'SSB', 'TDGF1', 'THBS2', 'THPO', 'TMPRSS15', 'TNFRSF8', 'TYMP', 'VTCN1', 'XPNPEP2']",89
Fold 66,"['ACP6', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'AMY2A', 'AMY2B', 'AOC1', 'ATP6V1D', 'BAIAP2', 'CCL14', 'CCL15', 'CCL17', 'CCL20', 'CDHR1', 'CES2', 'CHIT1', 'CLPS', 'COL6A3', 'CRELD2', 'CRTAC1', 'CSF2RA', 'CTRB1', 'CTSF', 'CTSH', 'CXCL14', 'CXCL8', 'DKKL1', 'DPT', 'DSG4', 'ENPP7', 'ERBB2', 'FABP4', 'FCRL5', 'FOSB', 'GFAP', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'GP2', 'HBQ1', 'HDGF', 'HSPG2', 'ICAM1', 'ICAM5', 'IGF2R', 'IGFBPL1', 'IL13', 'IL1RAP', 'IL2RA', 'INHBC', 'ISLR2', 'ISM1', 'KCNIP4', 'KLK10', 'LAMA4', 'LEP', 'LGALS1', 'LHB', 'LRRC25', 'LTA', 'LY96', 'LYPD1', 'MARCO', 'MASP1', 'MDGA1', 'MET', 'MILR1', 'MME', 'MSLN', 'MUC13', 'MZB1', 'NPTN', 'NPY', 'NRP1', 'NTRK3', 'NXPH1', 'PCDH1', 'PDGFC', 'PIGR', 'PLA2G7', 'PM20D1', 'PON3', 'PPY', 'PRSS8', 'PSIP1', 'PTH1R', 'RANGAP1', 'RARRES1', 'S100A16', 'SIGLEC7', 'SIGLEC9', 'SMOC2', 'SPINT1', 'SRP14', 'STX8', 'TDGF1', 'TFRC', 'THPO', 'TMPRSS5', 'TNFRSF4', 'TSHB', 'TSLP', 'XPNPEP2', 'XRCC4']",105
Fold 67,[],0
Fold 68,"['GDF15', 'LGALS9', 'MZB1']",3
Fold 69,"['ANGPTL2', 'CCL20', 'CDHR1', 'CEACAM3', 'CES2', 'CRTAC1', 'CTSL', 'DKKL1', 'DLL1', 'DPT', 'DSG4', 'FABP4', 'FCN2', 'FGF21', 'GGT5', 'HDGF', 'HLA-DRA', 'IL11', 'KCNIP4', 'MAGED1', 'MDGA1', 'MUC13', 'MZB1', 'NDRG1', 'NPTN', 'PDGFC', 'PPY', 'RETN', 'TCL1A', 'TDGF1', 'TFPI2', 'TNFRSF13C', 'XPNPEP2']",33
Fold 70,"['CDCP1', 'DSG4', 'FBP1', 'GDF15', 'GRN', 'LGALS1', 'MZB1', 'PON3']",8
Fold 71,[],0
Fold 72,"['ACP5', 'ACTN4', 'ADAM15', 'AMIGO2', 'AMY2B', 'AOC1', 'BAIAP2', 'BSG', 'CALB2', 'CCL20', 'CD164', 'CDH17', 'CES2', 'CLEC4C', 'CLUL1', 'CPA2', 'CRTAC1', 'CRX', 'CSF2RA', 'CTSH', 'CXCL13', 'DLL1', 'ENPP7', 'EPCAM', 'FABP4', 'FBP1', 'FCAR', 'FCGR2B', 'FCN2', 'FCRL5', 'FGF21', 'GFAP', 'GFRA2', 'GGT5', 'GHRHR', 'GP2', 'GPA33', 'GPC5', 'HDGF', 'HLA-DRA', 'IFNGR1', 'IGF2R', 'IGFBPL1', 'IL17C', 'IL18RAP', 'IL20', 'IL22RA1', 'ILKAP', 'JCHAIN', 'KIR2DL3', 'KLB', 'KLK1', 'KLK14', 'KLRD1', 'LAIR2', 'LEFTY2', 'LGALS1', 'LHB', 'LY96', 'MARCO', 'MDGA1', 'MMP13', 'MUC13', 'MZB1', 'NCLN', 'NGF', 'NOS1', 'NPTN', 'NRP1', 'NRP2', 'OMG', 'PCOLCE', 'PDGFC', 'PM20D1', 'PRSS8', 'PRTG', 'PSIP1', 'PSPN', 'S100A16', 'SCP2', 'SMOC2', 'SPINT1', 'SRP14', 'SSC5D', 'TDGF1', 'THPO', 'TMPRSS5', 'TMSB10', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TPT1', 'ULBP2', 'VEGFA', 'XPNPEP2']",97
Fold 73,"['ADAM15', 'ADAMTS13', 'ANGPTL2', 'ARNT', 'BAIAP2', 'C19orf12', 'CCL20', 'CES2', 'CRTAC1', 'CTSF', 'DKKL1', 'FCGR2A', 'IKZF2', 'IL22RA1', 'KCNIP4', 'MSR1', 'MUC13', 'MZB1', 'NDRG1', 'NPTN', 'NTRK3', 'PPY', 'RANGAP1', 'SRP14', 'TFPI2', 'TNC', 'XPNPEP2']",27
Fold 74,"['ADAMTS15', 'ADGRG2', 'AMY2A', 'AMY2B', 'ANGPTL7', 'APEX1', 'ARNT', 'ARTN', 'ATP6V1D', 'B4GAT1', 'BAIAP2', 'CA5A', 'CASP1', 'CASP8', 'CCL19', 'CD38', 'CD5', 'CDH17', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CLEC4G', 'CNTN1', 'COL6A3', 'CPA2', 'CRTAC1', 'CTSH', 'DKKL1', 'DPT', 'DSG4', 'ERBB4', 'FASLG', 'FBP1', 'FCGR2B', 'FGF21', 'FOSB', 'GAL', 'GFOD2', 'GH2', 'GP2', 'GPC5', 'GZMA', 'HCLS1', 'HDGF', 'HLA-DRA', 'IFNGR2', 'IGF2R', 'IL11', 'IL13', 'IL16', 'IL2RA', 'IL2RB', 'IL32', 'IL33', 'INHBC', 'ISLR2', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK1', 'KLK12', 'KLK14', 'KLRD1', 'LAMA4', 'LGALS9', 'LHPP', 'LILRB1', 'MAGED1', 'MARCO', 'MATN3', 'MDGA1', 'MET', 'MTPN', 'MUC13', 'MZB1', 'NFKBIE', 'NOMO1', 'NPTN', 'NTRK3', 'PCSK9', 'PDGFC', 'PDGFRA', 'PLA2G10', 'PM20D1', 'PON3', 'PPY', 'PTH1R', 'RAB6B', 'RANGAP1', 'RARRES2', 'SCG2', 'SDC1', 'SELPLG', 'SFTPD', 'SLITRK6', 'SMOC2', 'SPINT1', 'TCL1A', 'TDGF1', 'TFPI2', 'THBS2', 'THPO', 'TIGAR', 'TLR3', 'TMPRSS5', 'TNC', 'TSHB', 'XPNPEP2']",109
Fold 75,"['ADAM15', 'CCL19', 'CCL20', 'CDHR1', 'CRTAC1', 'CXCL8', 'DPT', 'ENPP7', 'FOSB', 'HLA-DRA', 'IGF2R', 'KLK10', 'MDGA1', 'MUC13', 'MZB1', 'NINJ1', 'NTRK3', 'PM20D1', 'PON3', 'RANGAP1', 'SMOC2', 'SOST', 'SSB', 'TDGF1', 'XPNPEP2', 'XRCC4']",26
Fold 76,"['ACTN4', 'ADAMTS13', 'ADAMTS15', 'ADCYAP1R1', 'AKR1C4', 'AMIGO2', 'ANGPTL2', 'ANGPTL3', 'ANXA5', 'AOC1', 'APEX1', 'B4GAT1', 'BAIAP2', 'BSG', 'CALB2', 'CAMKK1', 'CCL20', 'CD164', 'CD63', 'CDC27', 'CDHR1', 'CES2', 'CHIT1', 'CHL1', 'CLPS', 'CRH', 'CRLF1', 'CRTAC1', 'CSTB', 'CTRB1', 'CTSH', 'DKKL1', 'DPT', 'DSG4', 'ENPP7', 'EREG', 'FABP4', 'FASLG', 'FBP1', 'FCGR2B', 'FCN2', 'FCRL5', 'FOSB', 'GFAP', 'GFRA2', 'GGT1', 'GGT5', 'HBQ1', 'HDGF', 'HEBP1', 'HLA-DRA', 'HSPG2', 'IDS', 'IFNGR1', 'IGF2R', 'IGFBPL1', 'IL11', 'IL17C', 'IL17D', 'IL1RAP', 'IL22RA1', 'IL24', 'IL33', 'ISLR2', 'ISM1', 'KCNIP4', 'KLB', 'KLK12', 'LAMA4', 'LGALS1', 'LILRB1', 'LRPAP1', 'LY9', 'LY96', 'MAGED1', 'MCFD2', 'MDGA1', 'MET', 'MMP13', 'MSR1', 'MTPN', 'MUC13', 'MUC16', 'MZB1', 'NCLN', 'NECTIN2', 'NELL2', 'NGF', 'NINJ1', 'NPTN', 'NPTXR', 'PAEP', 'PAG1', 'PDGFC', 'PIGR', 'PLAUR', 'PLXNB2', 'PM20D1', 'PON3', 'PPY', 'PRSS8', 'PSPN', 'RANGAP1', 'RARRES1', 'RASA1', 'S100A16', 'SELPLG', 'SIGLEC9', 'SLC16A1', 'SMOC2', 'SOD2', 'SPINT1', 'SRP14', 'SSC5D', 'STC2', 'TDGF1', 'THBD', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF11A', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TPSAB1', 'TPT1', 'WFIKKN1', 'XPNPEP2']",128
Fold 77,"['CCL20', 'CCL7', 'CRTAC1', 'HDGF', 'LGALS1', 'MDGA1', 'MZB1', 'NOMO1', 'SRP14', 'TFPI2', 'TNC']",11
Fold 78,"['AMY2A', 'AMY2B', 'B4GAT1', 'CASP1', 'CCL15', 'CCL19', 'CD63', 'CHIT1', 'CPA2', 'CPM', 'CRTAC1', 'CTSH', 'CXCL8', 'DKKL1', 'F9', 'FCGR2B', 'FGF21', 'FOSB', 'GFRA2', 'HLA-DRA', 'IGF2R', 'IL13', 'IL2', 'IL2RA', 'ISM1', 'KCNIP4', 'KLK1', 'MDGA1', 'MSLN', 'MUC13', 'MZB1', 'NFATC3', 'NPY', 'PCSK9', 'PDGFC', 'RANGAP1', 'SIGLEC9', 'SPINT1', 'SRP14', 'TDGF1', 'THBS2', 'TNC', 'TSHB', 'XPNPEP2']",44
Fold 79,"['ACE2', 'ADAMTS13', 'ADGRG2', 'AFP', 'AHSP', 'ANXA11', 'AOC1', 'APOM', 'ARNT', 'BAIAP2', 'C4BPB', 'CCL20', 'CD164', 'CD38', 'CD5', 'CD63', 'CES2', 'CLSPN', 'CLSTN2', 'CNTN4', 'COLEC12', 'CPA2', 'CPE', 'CRLF1', 'CRTAC1', 'CRX', 'CTSB', 'CXCL14', 'DFFA', 'DLL1', 'FCGR2A', 'FCN2', 'FCRL5', 'FOSB', 'GCG', 'GFAP', 'GFOD2', 'GFRA2', 'GGT1', 'GP2', 'GPA33', 'HBQ1', 'HDGF', 'HMBS', 'IL13', 'IL16', 'IL17C', 'IL17RB', 'IL2RA', 'IL5', 'ISLR2', 'JCHAIN', 'KIR2DL3', 'KLRD1', 'KRT14', 'L1CAM', 'LEP', 'LILRA5', 'LILRB1', 'LRPAP1', 'LRRC25', 'LYPD1', 'LYPD8', 'MARCO', 'MDGA1', 'MET', 'MZB1', 'NDRG1', 'NPM1', 'NRP1', 'PIGR', 'PILRB', 'PKLR', 'PLA2G7', 'PODXL2', 'POLR2F', 'PON3', 'PRL', 'PSIP1', 'PTH1R', 'RABEPK', 'RASA1', 'S100A16', 'SCARB1', 'SCP2', 'SEZ6L2', 'SIGLEC9', 'SLC39A5', 'SMOC2', 'SPINT1', 'SSB', 'TDGF1', 'TFRC', 'THBD', 'THPO', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF8', 'TPT1', 'TSLP', 'VEGFA', 'XG', 'XPNPEP2', 'XRCC4']",105
Fold 80,"['ACP5', 'AMIGO2', 'ANGPTL2', 'AOC1', 'BAIAP2', 'CCL20', 'CD164', 'CD22', 'CD276', 'CD38', 'CD63', 'CDHR1', 'CEACAM21', 'CEACAM5', 'CES2', 'CLUL1', 'COL4A1', 'CRTAC1', 'CSF2RA', 'CTSH', 'DKKL1', 'DLL1', 'DPP6', 'DPT', 'DSG2', 'ENPP7', 'EPCAM', 'FASLG', 'FCN2', 'FCRL1', 'FCRL5', 'FOSB', 'GFOD2', 'GFRA2', 'GH2', 'GPA33', 'GRN', 'HCLS1', 'HDGF', 'IFNGR2', 'IGF2R', 'IGSF3', 'IL11', 'IL22RA1', 'IL24', 'IL32', 'IL33', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLRD1', 'LHPP', 'LILRA5', 'LILRB1', 'LSM1', 'LY9', 'MAGED1', 'MDGA1', 'MET', 'MMP13', 'MUC13', 'MZB1', 'NCLN', 'NINJ1', 'NOMO1', 'NPTN', 'NPTXR', 'NTF4', 'NTRK3', 'PDGFC', 'PDGFRA', 'PODXL2', 'PON2', 'PTS', 'S100A16', 'SCGN', 'SDC1', 'SIGLEC9', 'SMOC2', 'SPINT1', 'SSC5D', 'TDGF1', 'THPO', 'TIMP3', 'TMPRSS5', 'TNFRSF4', 'TP53INP1', 'XPNPEP2']",88
Fold 81,"['ACAN', 'ACE2', 'ADAM15', 'ADAMTS15', 'ADAMTS16', 'ADGRG1', 'ADGRG2', 'AMY2A', 'AMY2B', 'ANGPTL3', 'ANXA3', 'APLP1', 'APOM', 'ATP6V1D', 'BAIAP2', 'CAPG', 'CASP1', 'CCL15', 'CCL17', 'CD27', 'CD48', 'CD5', 'CDHR1', 'CEACAM21', 'CEACAM5', 'CELA3A', 'CES2', 'CHIT1', 'CHL1', 'CLEC4G', 'CNTN5', 'COLEC12', 'CPA1', 'CPA2', 'CPVL', 'CRH', 'CRISP2', 'CRTAC1', 'CTRB1', 'CTSH', 'CTSS', 'CXCL8', 'DKKL1', 'DPT', 'DSG4', 'ENTPD5', 'ERBB4', 'FCAR', 'FCGR2B', 'FCN2', 'FCRL5', 'FOSB', 'FST', 'GAL', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'GPC5', 'GZMA', 'HLA-DRA', 'IFNGR1', 'IGF2R', 'IGFBPL1', 'IL13', 'IL2RB', 'IL33', 'IL3RA', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK1', 'KLK11', 'KLK12', 'KLK14', 'KLRD1', 'KRT5', 'LAMA4', 'LGALS9', 'LILRA5', 'LILRB1', 'LTA4H', 'MAPT', 'MARCO', 'MASP1', 'MDGA1', 'MET', 'MICB_MICA', 'MMP13', 'MSLN', 'MUC13', 'MZB1', 'NCAM2', 'NINJ1', 'NOMO1', 'NPTN', 'NPY', 'NRP1', 'NTF3', 'NTRK3', 'NXPH1', 'PM20D1', 'PON3', 'PPY', 'PRSS8', 'PTH1R', 'PTPRF', 'RAB6B', 'RANGAP1', 'RASSF2', 'REN', 'RET', 'S100A11', 'SCGB1A1', 'SELE', 'SERPINA11', 'SERPINB8', 'SIGLEC7', 'SIGLEC9', 'SMOC2', 'SPINT1', 'SRP14', 'TDGF1', 'THBS2', 'THPO', 'TIMP1', 'TLR3', 'TMPRSS5', 'TNC', 'TNFRSF10A', 'TNFRSF13B', 'TNFRSF8', 'TNFSF11', 'TSHB', 'TSLP', 'WFIKKN1', 'XPNPEP2']",137
Fold 82,"['ACE2', 'ACTN4', 'ADAM15', 'ADAMTS15', 'AMIGO2', 'AMN', 'AOC1', 'BAIAP2', 'BSG', 'C19orf12', 'CCL15', 'CCL19', 'CCL20', 'CD164', 'CDHR1', 'CHIT1', 'COPE', 'CPA2', 'CRELD2', 'CRHR1', 'CRTAC1', 'CSF1', 'CTSF', 'CXCL8', 'DKKL1', 'DLL1', 'DPT', 'DSG4', 'ENPP7', 'EREG', 'FCRL5', 'FOSB', 'GGT5', 'GPA33', 'HCLS1', 'HDGF', 'HLA-DRA', 'IGF2R', 'IL11', 'IL13', 'IL17F', 'IL17RB', 'IL1RAP', 'IL2RA', 'KLB', 'LAMA4', 'LRP11', 'LY9', 'LY96', 'LYPD1', 'MDGA1', 'MET', 'MILR1', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NOMO1', 'NOS1', 'NPTN', 'NPTXR', 'PCOLCE', 'PIGR', 'PLA2G10', 'PM20D1', 'PON3', 'PPY', 'PRKRA', 'PSIP1', 'RANGAP1', 'RARRES1', 'S100A16', 'SCP2', 'SELPLG', 'SH2D1A', 'SIRT5', 'SMOC2', 'SOD2', 'SPINT1', 'SRP14', 'TDGF1', 'TFRC', 'THBS2', 'THPO', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF13B', 'TNFRSF4', 'TNFRSF8', 'ULBP2', 'VWA1', 'XPNPEP2', 'XRCC4']",94
Fold 83,"['LGALS9', 'MZB1']",2
Fold 84,"['ADAM15', 'ADAMTS13', 'ADAMTS15', 'ANGPTL2', 'AOC1', 'CALB2', 'CCL14', 'CCL20', 'CEACAM3', 'CES2', 'CNTN2', 'CRTAC1', 'CSTB', 'CTSF', 'EGLN1', 'FABP4', 'FBP1', 'FCAR', 'FGF21', 'GFAP', 'GGT1', 'HLA-DRA', 'ICAM5', 'IFNGR2', 'IGF2R', 'IL16', 'IL17C', 'IL33', 'IL5', 'LRPAP1', 'LRRC25', 'LTO1', 'LY96', 'LYPD3', 'MDGA1', 'MSLN', 'MUC13', 'MZB1', 'NFATC3', 'PAEP', 'PCOLCE', 'PDGFC', 'PLIN1', 'PPY', 'PRL', 'PTPRM', 'RANGAP1', 'SEMA3F', 'SRP14', 'TFPI2', 'THPO', 'TMPRSS5', 'XPNPEP2']",53
Fold 85,"['CCL20', 'CES2', 'CRTAC1', 'DKKL1', 'FOSB', 'GFRA2', 'GGT5', 'GPA33', 'HDGF', 'IGF2R', 'MDGA1', 'MUC13', 'MZB1', 'NINJ1', 'PON3', 'PPY', 'RANGAP1', 'SPINT1', 'TDGF1', 'TNC', 'XPNPEP2']",21
Fold 86,[],0
Fold 87,"['ACE2', 'ACTN4', 'AFP', 'AKR1C4', 'AOC1', 'BAIAP2', 'BST1', 'BTN3A2', 'C19orf12', 'CA6', 'CARHSP1', 'CCL14', 'CCL20', 'CCL22', 'CD276', 'CD79B', 'CDH5', 'CHIT1', 'CHRDL1', 'CNTN5', 'COL4A1', 'COPE', 'CPA2', 'CRTAC1', 'CSF1', 'CSF2RA', 'CTSH', 'CXCL8', 'DKKL1', 'DPT', 'DPY30', 'DSG4', 'EPCAM', 'EREG', 'FASLG', 'FBP1', 'FCN2', 'FOSB', 'GDF15', 'GFAP', 'GFRA2', 'GGH', 'GGT1', 'GGT5', 'GLT8D2', 'GPA33', 'GPKOW', 'HBQ1', 'HMBS', 'HMOX2', 'IGF2R', 'IL11', 'IL13', 'IL17A', 'IL17F', 'IL17RB', 'IL1A', 'IL1RAP', 'IL22RA1', 'IL2RA', 'ISLR2', 'JUN', 'KEL', 'KLB', 'KLK10', 'KLK12', 'KLK14', 'LEP', 'LGALS9', 'LILRB1', 'LILRB4', 'LTBP3', 'LY9', 'LY96', 'LYPD1', 'MARCO', 'MDGA1', 'MEGF10', 'MET', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NCR1', 'NEFL', 'NOS1', 'NPTN', 'NPTXR', 'NPY', 'NTRK3', 'PAEP', 'PCOLCE', 'PKLR', 'PLAUR', 'PON3', 'PPY', 'PSIP1', 'PSMA1', 'PTPRM', 'RANGAP1', 'RARRES1', 'S100A16', 'SCP2', 'SERPINB8', 'SIGLEC7', 'SIGLEC9', 'SLC16A1', 'SLC39A5', 'SMOC2', 'SPINT1', 'SRP14', 'SSC4D', 'STC1', 'TFPI2', 'THBS2', 'TNC', 'TNFRSF11A', 'TNFRSF11B', 'TNFRSF13B', 'TPT1', 'TSLP', 'TSPAN1', 'VWA1', 'WFDC2', 'WFIKKN1', 'XPNPEP2']",126
Fold 88,[],0
Fold 89,"['ADAM15', 'ANGPTL2', 'ANXA3', 'B4GAT1', 'CASP1', 'CCL15', 'CCL20', 'CDH17', 'CELA3A', 'CHI3L1', 'CHIT1', 'COL9A1', 'CPA2', 'CRTAC1', 'CSTB', 'CTRB1', 'CTSH', 'DKKL1', 'FCAR', 'FCRL5', 'FOSB', 'GNLY', 'GZMA', 'HCLS1', 'HLA-DRA', 'IGF2R', 'IL18RAP', 'IL1B', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK1', 'KLK12', 'LGALS1', 'MDGA1', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'PDGFC', 'PIGR', 'PON3', 'S100A16', 'SCARB1', 'SPINT1', 'SRP14', 'TDGF1', 'THBS2', 'THPO', 'TMPRSS5', 'TNFRSF8', 'XPNPEP2']",52
Fold 90,"['CCL20', 'CES2', 'FOSB', 'LGALS1', 'MDGA1', 'MZB1', 'NDRG1', 'PDGFC', 'PON3', 'TMSB10', 'TNFRSF8']",11
Fold 91,"['ACP5', 'ADAMTS13', 'ADAMTS15', 'AOC1', 'APEX1', 'BAIAP2', 'CALB2', 'CCL20', 'CD276', 'CD74', 'CDH17', 'CDHR1', 'CHIT1', 'COL4A1', 'COL6A3', 'COLEC12', 'CPA2', 'CRTAC1', 'CTSF', 'CXCL8', 'DDC', 'DDR1', 'DEFA1_DEFA1B', 'DKKL1', 'DPT', 'DSG4', 'DTX3', 'EPCAM', 'FASLG', 'FOSB', 'GFOD2', 'GFRA1', 'GFRA2', 'GNLY', 'GPA33', 'GPC5', 'GRN', 'HDGF', 'ICAM1', 'IGF2R', 'IL13', 'IL16', 'IL17C', 'IL1RAP', 'IL2RA', 'IL32', 'IL5RA', 'KCNIP4', 'KIR2DL3', 'KLK12', 'KLRD1', 'LEP', 'LGALS9', 'LILRA5', 'LILRB1', 'LRP11', 'LRRC25', 'LY96', 'LYPD1', 'MARCO', 'MDGA1', 'MET', 'MTPN', 'MUC13', 'MZB1', 'NOMO1', 'NPTN', 'NPY', 'NTRK3', 'PDGFC', 'PIGR', 'PON3', 'PPP3R1', 'PRKRA', 'PSIP1', 'PSMA1', 'RANGAP1', 'S100A16', 'SCARB1', 'SCGN', 'SCP2', 'SERPINB9', 'SLC39A5', 'SMOC2', 'SPINT1', 'SRP14', 'SSB', 'TAFA5', 'TFPI2', 'TNFRSF11A', 'TPT1', 'TSLP', 'TSPAN1', 'XPNPEP2']",94
Fold 92,[],0
Fold 93,"['CCL7', 'CXCL8', 'LGALS1', 'MZB1', 'TNFRSF10A']",5
Fold 94,"['ANGPTL2', 'CCL20', 'CCL7', 'CDHR1', 'CNTN2', 'CRTAC1', 'FBP1', 'HDGF', 'MAGED1', 'MUC13', 'MZB1']",11
Fold 95,"['CCL7', 'MZB1']",2
Fold 96,"['CCL20', 'CRTAC1', 'FOSB', 'LGALS1', 'MZB1', 'PDGFC', 'SSB']",7
Fold 97,"['CCL7', 'CRTAC1', 'CTSH', 'DSG4', 'LGALS1', 'MZB1', 'NDRG1', 'PON3', 'SPINT1']",9
Fold 98,"['ACE2', 'ACP5', 'ADAM23', 'ADAMTS15', 'ANGPTL2', 'AOC1', 'ATF2', 'BAIAP2', 'BST1', 'CA6', 'CCL15', 'CCL20', 'CD209', 'CD276', 'CDH17', 'CDH5', 'CDHR1', 'CHIT1', 'CLEC11A', 'COL6A3', 'CPA2', 'CRTAC1', 'CTSH', 'CTSL', 'CXCL13', 'DKKL1', 'DLL1', 'ENPP7', 'EPCAM', 'FABP4', 'FCN2', 'FCRL5', 'FGR', 'FOSB', 'GFRA2', 'GGH', 'GGT5', 'GP2', 'GPA33', 'GRN', 'HBQ1', 'HDGF', 'HLA-DRA', 'HPGDS', 'IFNGR2', 'IGFBPL1', 'IGSF3', 'IL17C', 'IL5RA', 'IL6', 'ISLR2', 'JCHAIN', 'KCNIP4', 'KIR2DL3', 'KLK1', 'KLK12', 'KLRD1', 'L1CAM', 'LAIR2', 'LGALS1', 'LGALS9', 'LHB', 'LILRA5', 'LILRB1', 'LRRC25', 'LY96', 'MARCO', 'MDGA1', 'MET', 'MUC13', 'MZB1', 'NRP2', 'NTRK3', 'PDGFC', 'PLA2G7', 'PLAUR', 'PM20D1', 'PRKRA', 'PSIP1', 'RANGAP1', 'REN', 'RETN', 'S100A16', 'SCP2', 'SERPINA11', 'SFTPA2', 'SLC39A5', 'SPINT1', 'SSB', 'SSC5D', 'TFPI2', 'THPO', 'TNFRSF11A', 'TNFRSF11B', 'TNFRSF13B', 'TNFRSF6B', 'TNNI3', 'TPT1']",98
